"","Date","Block","Signature","Vial","Wolbachia","Food","wild_wild_female","yellow_vermillion_female","yellow_wild_female","wild_vermillion_female","wild_wild_male","yellow_vermillion_male","yellow_wild_male","wild_vermillion_male","Parental","Recombinant","RecombinantFraction"
"1","10/21/19",1,"SM",1,"Yes","Control",19,25,13,11,18,18,15,11,80,50,0.384615384615385
"2","10/21/19",1,"SM",2,"Yes","Control",28,16,6,10,19,13,12,6,76,34,0.309090909090909
"3","10/21/19",1,"SM",3,"Yes","Control",15,10,13,15,12,16,12,8,53,48,0.475247524752475
"4","10/21/19",1,"SM",4,"Yes","Control",21,20,9,23,24,13,13,16,78,61,0.438848920863309
"5","10/21/19",1,"SM",5,"Yes","Control",27,27,10,15,13,29,20,17,96,62,0.392405063291139
"6","10/21/19",1,"SM",1,"Yes","Yeast",33,38,13,26,36,28,23,22,135,84,0.383561643835616
"7","10/21/19",1,"SM",2,"Yes","Yeast",24,12,13,9,12,11,6,14,59,42,0.415841584158416
"8","10/21/19",1,"SM",3,"Yes","Yeast",28,21,7,14,27,18,18,23,94,62,0.397435897435897
"9","10/21/19",1,"SM",4,"Yes","Yeast",22,25,10,10,23,10,10,13,80,43,0.349593495934959
"10","10/21/19",1,"SM",5,"Yes","Yeast",30,40,20,24,45,33,16,15,148,75,0.336322869955157
"11","10/24/19",1,"SM",6,"Yes","Yeast",1,1,0,2,2,1,0,0,5,2,0.285714285714286
"12","10/22/19",1,"SM",1,"Yes","Sucrose",14,31,11,11,18,30,17,13,93,52,0.358620689655172
"13","10/24/19",1,"SM",2,"Yes","Sucrose",11,11,1,5,4,8,2,2,34,10,0.227272727272727
"14","10/24/19",1,"SM",3,"Yes","Sucrose",27,20,18,22,23,19,10,14,89,64,0.418300653594771
"15","10/25/19",1,"SM",4,"Yes","Sucrose",3,3,3,3,1,7,2,2,14,10,0.416666666666667
"16","10/25/19",1,"SM",5,"Yes","Sucrose",9,9,7,2,6,10,9,8,34,26,0.433333333333333
"17","10/22/19",1,"SM",1,"No","Control",21,20,15,8,25,22,12,9,88,44,0.333333333333333
"18","10/22/19",1,"SM",2,"No","Control",28,21,15,14,20,22,18,8,91,55,0.376712328767123
"19","10/22/19",1,"SM",3,"No","Control",33,20,10,9,30,17,4,7,100,30,0.230769230769231
"20","10/22/19",1,"SM",4,"No","Control",30,28,13,13,24,17,9,9,99,44,0.307692307692308
"21","10/22/19",1,"SM",5,"No","Control",12,13,6,11,21,13,10,11,59,38,0.391752577319588
"22","10/23/19",1,"SM",6,"No","Control",18,20,13,10,23,25,12,18,86,53,0.381294964028777
"23","10/23/19",1,"SM",7,"No","Control",43,19,11,10,32,34,15,15,128,51,0.284916201117318
"24","10/23/19",1,"SM",8,"No","Control",23,16,13,14,30,19,15,17,88,59,0.401360544217687
"25","10/23/19",1,"SM",9,"No","Control",29,24,25,12,16,19,10,18,88,65,0.42483660130719
"26","10/23/19",1,"SM",10,"No","Control",19,19,6,13,21,22,8,12,81,39,0.325
"27","10/22/19",1,"SM",1,"No","Yeast",26,37,32,23,15,37,17,19,115,91,0.441747572815534
"28","10/22/19",1,"SM",2,"No","Yeast",45,37,15,23,36,22,17,17,140,72,0.339622641509434
"29","10/22/19",1,"SM",3,"No","Yeast",41,37,19,18,46,25,25,17,149,79,0.346491228070175
"30","10/22/19",1,"SM",4,"No","Yeast",34,45,26,28,23,28,17,20,130,91,0.411764705882353
"31","10/22/19",1,"SM",5,"No","Yeast",28,31,21,26,31,25,10,19,115,76,0.397905759162304
"32","10/23/19",1,"SM",6,"No","Yeast",19,15,2,10,14,6,5,7,54,24,0.307692307692308
"33","10/23/19",1,"SM",7,"No","Yeast",23,20,9,8,23,12,10,13,78,40,0.338983050847458
"34","10/23/19",1,"SM",8,"No","Yeast",29,35,11,13,25,23,21,14,112,59,0.345029239766082
"35","10/22/19",1,"SM",1,"No","Sucrose",47,53,21,28,36,43,16,14,179,79,0.306201550387597
"36","10/24/19",1,"SM",2,"No","Sucrose",5,3,4,1,2,1,1,1,11,7,0.388888888888889
"37","10/24/19",1,"SM",3,"No","Sucrose",13,8,5,8,7,10,6,5,38,24,0.387096774193548
"38","10/24/19",1,"SM",4,"No","Sucrose",4,3,0,1,4,4,3,1,15,5,0.25
"39","10/25/19",1,"SM",5,"No","Sucrose",20,9,5,3,21,15,3,2,65,13,0.166666666666667
"40","10/25/19",1,"SM",6,"No","Sucrose",2,2,2,2,1,7,6,2,12,12,0.5
"41","10/25/19",1,"SM",7,"No","Sucrose",12,11,12,11,10,20,8,8,53,39,0.423913043478261
"42","10/25/19",1,"SM",8,"No","Sucrose",3,3,4,8,2,5,1,3,13,16,0.551724137931034
"43","10/25/19",1,"SM",9,"No","Sucrose",4,4,2,0,7,8,1,3,23,6,0.206896551724138
"44","10/25/19",1,"SM",10,"No","Sucrose",2,0,0,0,0,1,1,1,3,2,0.4
"45","10/23/19",2,"SM",1,"Yes","Control",29,19,8,7,10,15,8,9,73,32,0.304761904761905
"46","10/23/19",2,"SM",2,"Yes","Control",18,30,15,16,18,20,6,11,86,48,0.358208955223881
"47","10/23/19",2,"SM",3,"Yes","Control",22,21,14,10,17,26,10,13,86,47,0.353383458646617
"48","10/23/19",2,"SM",4,"Yes","Control",10,22,10,10,14,11,6,4,57,30,0.344827586206897
"49","10/25/19",2,"SM",5,"Yes","Control",11,20,7,8,18,12,5,5,61,25,0.290697674418605
"50","10/25/19",2,"SM",6,"Yes","Control",20,17,13,12,14,14,10,11,65,46,0.414414414414414
"51","10/25/19",2,"SM",7,"Yes","Control",21,24,7,20,14,22,11,11,81,49,0.376923076923077
"52","10/25/19",2,"SM",8,"Yes","Control",34,19,11,11,23,13,12,16,89,50,0.359712230215827
"53","10/23/19",2,"SM",1,"Yes","Yeast",22,24,14,8,14,31,16,14,91,52,0.363636363636364
"54","10/23/19",2,"SM",2,"Yes","Yeast",31,35,18,23,31,30,15,16,127,72,0.361809045226131
"55","10/23/19",2,"SM",3,"Yes","Yeast",13,14,6,9,15,18,11,12,60,38,0.387755102040816
"56","10/25/19",2,"SM",4,"Yes","Yeast",37,34,31,32,31,37,24,21,139,108,0.437246963562753
"57","10/25/19",2,"SM",5,"Yes","Yeast",16,21,13,12,23,15,12,8,75,45,0.375
"58","10/25/19",2,"SM",6,"Yes","Yeast",39,29,28,25,25,18,16,13,111,82,0.424870466321244
"59","10/25/19",2,"SM",7,"Yes","Yeast",28,20,18,25,30,26,22,16,104,81,0.437837837837838
"60","10/23/19",2,"SM",8,"Yes","Yeast",44,34,30,31,31,34,20,29,143,110,0.434782608695652
"61","10/23/19",2,"SM",1,"No","Control",22,9,1,2,15,13,3,6,59,12,0.169014084507042
"62","10/23/19",2,"SM",2,"No","Control",8,9,2,2,10,6,5,8,33,17,0.34
"63","10/23/19",2,"SM",3,"No","Control",18,11,8,9,17,8,10,11,54,38,0.41304347826087
"64","10/23/19",2,"SM",4,"No","Control",16,22,10,15,14,7,6,10,59,41,0.41
"65","10/23/19",2,"SM",5,"No","Control",28,25,12,6,22,19,14,12,94,44,0.318840579710145
"66","10/25/19",2,"SM",6,"No","Control",16,15,9,15,18,15,5,17,64,46,0.418181818181818
"67","10/25/19",2,"SM",7,"No","Control",17,19,10,8,19,21,9,5,76,32,0.296296296296296
"68","10/25/19",2,"SM",8,"No","Control",22,25,14,17,23,24,21,14,94,66,0.4125
"69","10/23/19",2,"SM",1,"No","Yeast",43,32,16,19,38,37,12,13,150,60,0.285714285714286
"70","10/23/19",2,"SM",2,"No","Yeast",22,20,7,8,15,19,7,7,76,29,0.276190476190476
"71","10/23/19",2,"SM",3,"No","Yeast",16,22,10,9,18,18,10,15,74,44,0.372881355932203
"72","10/23/19",2,"SM",4,"No","Yeast",16,19,10,6,14,13,12,13,62,41,0.398058252427184
"73","10/25/19",2,"SM",5,"No","Yeast",23,26,12,20,41,33,13,10,123,55,0.308988764044944
"74","10/25/19",2,"SM",6,"No","Yeast",45,35,24,14,43,38,18,13,161,69,0.3
"75","10/28/19",2,"SM",7,"No","Yeast",24,34,18,10,33,29,15,11,120,54,0.310344827586207
"76","10/28/19",2,"SM",8,"No","Yeast",22,40,30,16,45,49,17,26,156,89,0.363265306122449
"77","10/28/19",3,"SM",1,"Yes","Control",34,17,15,14,22,19,9,8,92,46,0.333333333333333
"78","10/28/19",3,"SM",2,"Yes","Control",32,9,8,2,15,13,8,9,69,27,0.28125
"79","10/29/19",3,"SM",3,"Yes","Control",39,28,18,26,46,26,13,17,139,74,0.347417840375587
"80","10/29/19",3,"SM",4,"Yes","Control",28,28,18,11,21,27,20,9,104,58,0.358024691358025
"81","10/30/19",3,"SM",1,"Yes","Yeast",52,48,32,33,40,53,25,31,193,121,0.385350318471338
"82","10/30/19",3,"SM",2,"Yes","Yeast",68,61,50,27,51,49,29,32,229,138,0.376021798365123
"83","10/30/19",3,"SM",3,"Yes","Yeast",53,58,20,19,54,48,33,36,213,108,0.336448598130841
"84","10/29/19",3,"SM",4,"Yes","Yeast",63,44,37,43,50,46,29,30,203,139,0.406432748538012
"85","10/30/19",3,"SM",5,"Yes","Yeast",4,0,0,0,2,2,4,1,8,5,0.384615384615385
"86","10/30/19",3,"SM",6,"Yes","Yeast",64,49,30,46,61,39,25,34,213,135,0.387931034482759
"87","10/30/19",3,"SM",1,"Yes","Sucrose",23,10,13,4,28,11,2,3,72,22,0.234042553191489
"88","10/30/19",3,"SM",2,"Yes","Sucrose",33,27,4,6,29,16,4,7,105,21,0.166666666666667
"89","10/30/19",3,"SM",3,"Yes","Sucrose",30,16,7,6,29,14,5,6,89,24,0.212389380530973
"90","10/30/19",3,"SM",4,"Yes","Sucrose",33,4,0,1,36,3,1,2,76,4,0.05
"91","10/30/19",3,"SM",5,"Yes","Sucrose",9,17,6,6,12,14,13,10,52,35,0.402298850574713
"92","10/30/19",3,"SM",6,"Yes","Sucrose",19,20,9,8,20,20,10,16,79,43,0.352459016393443
"93","10/28/19",3,"SM",1,"No","Control",14,24,6,11,28,27,12,6,93,35,0.2734375
"94","10/28/19",3,"SM",2,"No","Control",25,20,15,13,30,29,8,8,104,44,0.297297297297297
"95","10/29/19",3,"SM",3,"No","Control",24,27,14,14,24,23,5,9,98,42,0.3
"96","10/29/19",3,"SF",4,"No","Control",30,19,10,8,22,28,18,10,99,46,0.317241379310345
"97","10/29/19",3,"SM",5,"No","Control",23,25,15,13,26,17,12,15,91,55,0.376712328767123
"98","10/30/19",3,"SM",6,"No","Control",51,43,6,15,36,29,18,18,159,57,0.263888888888889
"99","10/28/19",3,"SM",1,"No","Yeast",27,26,22,25,22,36,17,15,111,79,0.415789473684211
"100","10/28/19",3,"SM",2,"No","Yeast",39,43,12,24,30,25,21,21,137,78,0.362790697674419
"101","10/29/19",3,"SM",3,"No","Yeast",39,37,16,15,49,38,19,17,163,67,0.291304347826087
"102","10/29/19",3,"SM",4,"No","Yeast",38,42,21,29,43,46,29,22,169,101,0.374074074074074
"103","10/29/19",3,"SM",5,"No","Yeast",33,32,23,18,22,36,20,16,123,77,0.385
"104","10/30/19",3,"SM",6,"No","Yeast",44,38,24,20,40,52,15,24,174,83,0.32295719844358
"105","10/30/19",3,"SM",7,"No","Yeast",60,46,25,26,57,43,20,25,206,96,0.317880794701987
"106","10/28/19",3,"SF",1,"No","Sucrose",16,12,3,6,7,10,3,8,45,20,0.307692307692308
"107","10/29/19",3,"SM",2,"No","Sucrose",22,19,18,16,25,19,14,11,85,59,0.409722222222222
"108","10/29/19",3,"SM",3,"No","Sucrose",33,23,13,11,30,23,13,10,109,47,0.301282051282051
"109","10/30/19",3,"SM",4,"No","Sucrose",35,24,20,17,18,27,13,19,104,69,0.398843930635838
"110","10/30/19",3,"SM",5,"No","Sucrose",25,12,15,6,15,25,7,9,77,37,0.324561403508772
"111","10/30/19",3,"SM",6,"No","Sucrose",26,22,14,10,21,25,11,11,94,46,0.328571428571429
"112","10/30/19",3,"SM",7,"No","Sucrose",11,18,8,7,28,11,10,8,68,33,0.326732673267327
"113","11/21/19",4,"SM",1,"Yes","Control",7,9,1,3,6,6,1,3,28,8,0.222222222222222
"114","11/21/19",4,"SM",2,"Yes","Control",6,5,3,5,10,7,8,9,28,25,0.471698113207547
"115","11/21/19",4,"SM",3,"Yes","Control",13,12,5,8,15,10,8,3,50,24,0.324324324324324
"116","11/21/19",4,"SM",4,"Yes","Control",21,8,11,7,15,17,10,8,61,36,0.371134020618557
"117","11/21/19",4,"SM",5,"Yes","Control",20,16,8,6,17,12,4,6,65,24,0.269662921348315
"118","11/22/19",4,"SM",6,"Yes","Control",11,12,6,9,12,14,11,6,49,32,0.395061728395062
"119","11/22/19",4,"SM",7,"Yes","Control",18,19,7,9,18,16,10,10,71,36,0.336448598130841
"120","11/22/19",4,"SM",8,"Yes","Control",25,17,10,12,19,24,6,13,85,41,0.325396825396825
"121","11/22/19",4,"SM",9,"Yes","Control",33,24,14,16,10,25,10,17,92,57,0.38255033557047
"122","11/21/19",4,"SM",1,"Yes","Yeast",26,43,29,23,49,43,26,21,161,99,0.380769230769231
"123","11/21/19",4,"SM",2,"Yes","Yeast",18,16,15,13,17,16,20,10,67,58,0.464
"124","11/21/19",4,"SM",3,"Yes","Yeast",22,13,10,10,20,12,4,14,67,38,0.361904761904762
"125","11/21/19",4,"SM",4,"Yes","Yeast",39,40,15,27,36,39,26,18,154,86,0.358333333333333
"126","11/22/19",4,"SM",5,"Yes","Yeast",47,52,28,24,40,41,27,19,180,98,0.352517985611511
"127","11/21/19",4,"SM",1,"Yes","Sucrose",7,6,4,5,7,6,1,3,26,13,0.333333333333333
"128","11/21/19",4,"SM",2,"Yes","Sucrose",17,16,7,6,8,13,8,10,54,31,0.364705882352941
"129","11/22/19",4,"SM",3,"Yes","Sucrose",19,17,13,9,5,9,4,8,50,34,0.404761904761905
"130","11/22/19",4,"LM",4,"Yes","Sucrose",20,22,5,12,19,26,11,13,87,41,0.3203125
"131","11/22/19",4,"SM",5,"Yes","Sucrose",23,26,20,12,17,26,17,13,92,62,0.402597402597403
"132","11/22/19",4,"SM",6,"Yes","Sucrose",25,28,15,14,24,21,10,8,98,47,0.324137931034483
"133","11/22/19",4,"SM",7,"Yes","Sucrose",17,15,11,13,20,13,14,18,65,56,0.462809917355372
"134","11/22/19",4,"SM",8,"Yes","Sucrose",20,20,13,13,31,20,6,11,91,43,0.32089552238806
"135","11/21/19",4,"SM",1,"No","Control",22,13,9,11,24,18,13,19,77,52,0.403100775193798
"136","11/21/19",4,"SM",2,"No","Control",21,19,14,5,19,28,8,8,87,35,0.286885245901639
"137","11/21/19",4,"SM",3,"No","Control",23,27,11,6,29,21,12,11,100,40,0.285714285714286
"138","11/22/19",4,"SM",4,"No","Control",22,22,14,10,25,26,13,15,95,52,0.353741496598639
"139","11/22/19",4,"SM",5,"No","Control",22,34,8,17,20,22,10,12,98,47,0.324137931034483
"140","11/21/19",4,"SM",1,"No","Yeast",21,12,9,9,24,11,8,5,68,31,0.313131313131313
"141","11/21/19",4,"SM",2,"No","Yeast",30,17,17,8,27,25,15,10,99,50,0.335570469798658
"142","11/21/19",4,"SM",3,"No","Yeast",40,43,19,17,53,33,24,20,169,80,0.321285140562249
"143","11/22/19",4,"SM",4,"No","Yeast",51,40,33,20,35,50,19,22,176,94,0.348148148148148
"144","11/22/19",4,"SM",5,"No","Yeast",51,52,15,20,35,38,16,19,176,70,0.284552845528455
"145","11/22/19",4,"SM",6,"No","Yeast",44,36,18,35,35,48,25,28,163,106,0.394052044609665
"146","11/22/19",4,"SM",7,"No","Yeast",48,41,14,16,33,36,22,17,158,69,0.303964757709251
"147","11/21/19",4,"SM",1,"No","Sucrose",8,6,8,7,13,12,8,7,39,30,0.434782608695652
"148","11/21/19",4,"SM",2,"No","Sucrose",12,16,8,9,16,19,5,6,63,28,0.307692307692308
"149","11/21/19",4,"SM",3,"No","Sucrose",9,12,5,4,8,9,3,8,38,20,0.344827586206897
"150","11/22/19",4,"LM",4,"No","Sucrose",19,14,8,10,16,22,10,7,71,35,0.330188679245283
"151","11/22/19",4,"SM",5,"No","Sucrose",21,16,8,19,28,29,11,16,94,54,0.364864864864865
"152","11/22/19",4,"SM",6,"No","Sucrose",20,14,8,9,14,16,8,7,64,32,0.333333333333333
"153","11/25/19",5,"SM",1,"Yes","Control",8,17,10,8,8,12,5,8,45,31,0.407894736842105
"154","11/25/19",5,"SM",2,"Yes","Control",26,17,9,12,16,14,11,8,73,40,0.353982300884956
"155","11/25/19",5,"SM",3,"Yes","Control",9,15,10,5,8,11,5,6,43,26,0.376811594202899
"156","11/25/19",5,"SM",4,"Yes","Control",12,23,14,8,19,17,11,8,71,41,0.366071428571429
"157","11/25/19",5,"SM",5,"Yes","Control",15,14,9,13,21,19,8,8,69,38,0.355140186915888
"158","11/25/19",5,"SM",6,"Yes","Control",20,28,7,10,10,17,10,8,75,35,0.318181818181818
"159","11/25/19",5,"SM",7,"Yes","Control",16,16,14,9,15,20,18,15,67,56,0.455284552845528
"160","11/25/19",5,"SM",8,"Yes","Control",20,20,14,14,21,14,5,8,75,41,0.353448275862069
"161","11/25/19",5,"SM",1,"Yes","Yeast",31,32,17,12,39,24,15,21,126,65,0.340314136125654
"162","11/25/19",5,"SM",2,"Yes","Yeast",42,28,26,26,24,47,15,15,141,82,0.367713004484305
"163","11/25/19",5,"SM",3,"Yes","Yeast",36,22,19,27,28,38,24,22,124,92,0.425925925925926
"164","11/25/19",5,"SM",4,"Yes","Yeast",50,39,18,28,37,28,24,27,154,97,0.386454183266932
"165","11/25/19",5,"SM",1,"Yes","Sucrose",14,12,7,8,11,7,14,8,44,37,0.45679012345679
"166","11/25/19",5,"SM",2,"Yes","Sucrose",9,11,2,3,15,6,2,6,41,13,0.240740740740741
"167","11/25/19",5,"SM",3,"Yes","Sucrose",2,2,4,5,3,5,2,4,12,15,0.555555555555556
"168","11/25/19",5,"SM",4,"Yes","Sucrose",16,22,10,11,16,9,8,12,63,41,0.394230769230769
"169","11/25/19",5,"SM",1,"No","Control",29,34,13,18,25,17,18,14,105,63,0.375
"170","11/25/19",5,"SM",2,"No","Control",20,20,15,14,21,16,13,12,77,54,0.412213740458015
"171","11/25/19",5,"SM",3,"No","Control",12,14,10,3,11,14,4,7,51,24,0.32
"172","11/25/19",5,"SM",4,"No","Control",13,16,8,6,9,9,6,8,47,28,0.373333333333333
"173","11/25/19",5,"SM",5,"No","Control",12,15,6,7,10,14,8,5,51,26,0.337662337662338
"174","11/25/19",5,"SM",6,"No","Control",17,23,13,3,17,8,11,4,65,31,0.322916666666667
"175","11/25/19",5,"SM",7,"No","Control",17,18,19,10,30,12,14,11,77,54,0.412213740458015
"176","11/25/19",5,"SM",1,"No","Yeast",40,27,28,12,27,34,17,14,128,71,0.35678391959799
"177","11/25/19",5,"SM",2,"No","Yeast",16,17,12,11,17,17,8,6,67,37,0.355769230769231
"178","11/25/19",5,"SM",3,"No","Yeast",9,15,8,4,10,12,7,7,46,26,0.361111111111111
"179","11/25/19",5,"SM",4,"No","Yeast",14,21,9,8,14,15,9,5,64,31,0.326315789473684
"180","11/25/19",5,"SM",5,"No","Yeast",42,41,17,27,36,32,15,16,151,75,0.331858407079646
"181","11/25/19",5,"SM",1,"No","Sucrose",14,12,5,9,9,14,7,4,49,25,0.337837837837838
"182","11/25/19",5,"SM",2,"No","Sucrose",9,9,6,7,12,7,1,3,37,17,0.314814814814815
"183","11/25/19",5,"SM",3,"No","Sucrose",7,8,2,5,10,11,1,8,36,16,0.307692307692308
"184","11/25/19",5,"SM",4,"No","Sucrose",17,19,4,4,13,12,8,8,61,24,0.282352941176471
"185","11/25/19",5,"SM",5,"No","Sucrose",23,29,7,11,17,15,16,14,84,48,0.363636363636364
"186","11/25/19",5,"SM",6,"No","Sucrose",23,18,10,8,17,8,13,8,66,39,0.371428571428571
"187","11/25/19",5,"SM",7,"No","Sucrose",18,19,15,16,15,15,11,10,67,52,0.436974789915966
"188","12/3/19",6,"SM",1,"Yes","Control",14,15,11,9,11,22,11,9,62,40,0.392156862745098
"189","12/3/19",6,"SM",2,"Yes","Control",20,19,11,17,17,20,16,10,76,54,0.415384615384615
"190","12/3/19",6,"SM",3,"Yes","Control",24,29,22,14,22,19,10,13,94,59,0.38562091503268
"191","12/3/19",6,"SM",4,"Yes","Control",17,33,21,11,18,28,17,17,96,66,0.407407407407407
"192","12/3/19",6,"SM",5,"Yes","Control",32,27,21,15,22,28,31,13,109,80,0.423280423280423
"193","12/4/19",6,"SM",6,"Yes","Control",19,16,16,14,17,21,7,12,73,49,0.401639344262295
